Track ID,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,0.367,0.189,0.0,0.129,0.836
6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,0.367,0.189,0.0,0.129,0.836
3jGYpYY6jm48GArqKDnuwG,0.801,0.578,0.201,0.0728,0.0,0.185,0.126
1Jl21sidRpEdlVBvYbssLx,0.889,0.385,0.165,0.00544,0.0,0.274,0.235
6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,0.367,0.189,0.0,0.129,0.836
1Jl21sidRpEdlVBvYbssLx,0.889,0.385,0.165,0.00544,0.0,0.274,0.235
1IAzD1muglOxOcPbUHs70R,0.68,0.687,0.0709,0.0161,0.0,0.261,0.467
6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,0.367,0.189,0.0,0.129,0.836
6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,0.367,0.189,0.0,0.129,0.836
0fySG6A6qLE8IvDpayb5bM,0.768,0.652,0.307,0.113,0.0,0.107,0.777
6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,0.367,0.189,0.0,0.129,0.836
6JpN5w95em8SODPiM7W2PH,0.741,0.718,0.415,0.283,2.21e-06,0.23,0.576
35srNkJVToAzYiZzron1FY,0.637,0.69,0.0693,0.417,0.0,0.211,0.103
6LxEtvMKSwmPdd5Fh1PCof,0.795,0.56,0.0479,0.184,0.0,0.158,0.459
5uu28fUesZMl89lf9CLrgN,0.522,0.833,0.0575,0.0454,0.0,0.127,0.296
6LxEtvMKSwmPdd5Fh1PCof,0.795,0.56,0.0479,0.184,0.0,0.158,0.459
7Haw35LoOZOiKUyvJASS6K,0.764,0.658,0.0757,0.536,3.8e-06,0.0663,0.682
3UmaczJpikHgJFyBTAJVoz,0.78,0.768,0.238,0.0371,2.34e-06,0.518,0.507
2ZLSnT49tvHVEhrhsrw483,0.958,0.705,0.167,0.204,2.02e-05,0.115,0.516
1Jl21sidRpEdlVBvYbssLx,0.889,0.385,0.165,0.00544,0.0,0.274,0.235
14mHfNsSHN0FbLftyjrV9g,0.792,0.743,0.0851,0.107,0.0,0.183,0.742
2GyYEekbHauEVHmtyi8AXL,0.478,0.735,0.482,0.598,0.0,0.107,0.625
2GyYEekbHauEVHmtyi8AXL,0.478,0.735,0.482,0.598,0.0,0.107,0.625
35srNkJVToAzYiZzron1FY,0.637,0.69,0.0693,0.417,0.0,0.211,0.103
5FEXPoPnzueFJQCPRIrC3c,0.871,0.44,0.0761,0.499,4.15e-06,0.114,0.799
5ljCWsDlSyJ41kwqym2ORw,0.759,0.675,0.313,0.228,0.0,0.15,0.328
5ljCWsDlSyJ41kwqym2ORw,0.759,0.675,0.313,0.228,0.0,0.15,0.328
35srNkJVToAzYiZzron1FY,0.637,0.69,0.0693,0.417,0.0,0.211,0.103
35srNkJVToAzYiZzron1FY,0.637,0.69,0.0693,0.417,0.0,0.211,0.103
63BcfK6YAzJYeISaTPr6IO,0.765,0.671,0.278,0.344,0.0,0.0506,0.798
7ycWLEP1GsNjVvcjawXz3z,0.85,0.569,0.136,0.0609,0.0816,0.1,0.294
0OgGn1ofaj55l2PcihQQGV,0.758,0.574,0.0572,0.46,0.00272,0.102,0.261
6UjZ2Yx2g2a52XxiA8ONxZ,0.614,0.684,0.157,0.247,0.0,0.0976,0.258
4RVbK6cV0VqWdpCDcx3hiT,0.585,0.597,0.037,0.339,0.0404,0.195,0.227
78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,0.292,0.0852,0.0,0.534,0.389
028JxheELfIvvY4zBXuMjw,0.776,0.64,0.183,0.15,0.0,0.0983,0.326
3to5UxKsozb4T6CfwHuhLJ,0.792,0.571,0.094,0.301,0.0,0.1,0.556
696DnlkuDOXcMAnKlTgXXK,0.621,0.601,0.148,0.0522,0.0,0.46,0.457
4RVbK6cV0VqWdpCDcx3hiT,0.585,0.597,0.037,0.339,0.0404,0.195,0.227
4RVbK6cV0VqWdpCDcx3hiT,0.585,0.597,0.037,0.339,0.0404,0.195,0.227
4RVbK6cV0VqWdpCDcx3hiT,0.585,0.597,0.037,0.339,0.0404,0.195,0.227
4RVbK6cV0VqWdpCDcx3hiT,0.585,0.597,0.037,0.339,0.0404,0.195,0.227
6habFhsOp2NvshLv26DqMb,0.655,0.797,0.153,0.198,0.0,0.067,0.839
028JxheELfIvvY4zBXuMjw,0.776,0.64,0.183,0.15,0.0,0.0983,0.326
696DnlkuDOXcMAnKlTgXXK,0.621,0.601,0.148,0.0522,0.0,0.46,0.457
6habFhsOp2NvshLv26DqMb,0.655,0.797,0.153,0.198,0.0,0.067,0.839
5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,0.0524,0.323,0.0,0.143,0.761
028JxheELfIvvY4zBXuMjw,0.776,0.64,0.183,0.15,0.0,0.0983,0.326
6habFhsOp2NvshLv26DqMb,0.655,0.797,0.153,0.198,0.0,0.067,0.839
78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,0.292,0.0852,0.0,0.534,0.389
